" Product Code"," Product Description","HS 1988/92 Product Code","HS 1988/92 Product Description"
"600610","Fabrics; knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of wool or fine animal hair","600291","Weft knits and crocheted fabrics of wool..."
"600621","Fabrics; knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of cotton, unbleached or bleached","600292","Weft knits or crocheted fabrics of cotton"
"600622","Fabrics; knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of cotton, dyed","600292","Weft knits or crocheted fabrics of cotton"
"600623","Fabrics; knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of cotton, of yarns of different colours","600292","Weft knits or crocheted fabrics of cotton"
"600624","Fabrics; knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of cotton, printed","600292","Weft knits or crocheted fabrics of cotton"
"600631","Fabrics; knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of synthetic fibres, unbleached or bleached","600293","Weft knits or crocheted fabrics of man-made fib"
"600632","Fabrics; knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of synthetic fibres, dyed","600293","Weft knits or crocheted fabrics of man-made fib"
"600633","Fabrics; knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of synthetic fibres, of yarns of different colours","600293","Weft knits or crocheted fabrics of man-made fib"
"600634","Fabrics; knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of synthetic fibres, printed","600293","Weft knits or crocheted fabrics of man-made fib"
"600641","Fabrics; knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of artificial fibres, unbleached or bleached","600293","Weft knits or crocheted fabrics of man-made fib"
"600642","Fabrics; knitted or crocheted fabrics, other than those of headings 60.01 to 60.04, of artificial fibres, dyed","600293","Weft knits or crocheted fabrics of man-made fib"
