" Product Code"," Product Description","HS 1988/92 Product Code","HS 1988/92 Product Description"
"880529","880529 -- (2002-) -- Other","880520","Flight simulators and parts thereof"
"880610","880610 -- (2022) -- Unmanned aircraft; for carriage of passengers","880240","Aircraft nes of an unladen weight exceeding 15,"
"880621","880621 -- (2022) -- Unmanned aircraft; for remote-controlled flight only, for other than for carriage of passengers, with the maximum take-off weight of not more than 250g","852110","Video recording or reproducing apparatus magnet"
"880622","880622 -- (2022) -- Unmanned aircraft; for remote-controlled flight only, for other than for carriage of passengers, with the maximum take-off weight of more than 250g but not more than 7kg","852110","Video recording or reproducing apparatus magnet"
"880623","880623 -- (2022) -- Unmanned aircraft; for remote-controlled flight only, for other than for carriage of passengers, with the maximum take-off weight of more than 7kg but not more than 25kg","852110","Video recording or reproducing apparatus magnet"
"880624","880624 -- (2022) -- Unmanned aircraft; for remote-controlled flight only, for other than for carriage of passengers, with the maximum take-off weight of more than 25kg but not more than 150kg","852110","Video recording or reproducing apparatus magnet"
"880629","880629 -- (2022) -- Unmanned aircraft; for remote-controlled flight only, for other than for carriage of passengers, with the maximum take-off weight of more than 150kg","880240","Aircraft nes of an unladen weight exceeding 15,"
"880691","880691 -- (2022) -- Unmanned aircraft; for other than remote-controlled flight and other than for carriage of passengers with a maximum take-off weight not more than 250g","852110","Video recording or reproducing apparatus magnet"
"880692","880692 -- (2022) -- Unmanned aircraft; for other than remote-controlled flight and other than for carriage of passengers with a maximum take-off weight more than 250g but not more than 7kg","852110","Video recording or reproducing apparatus magnet"
"880693","880693 -- (2022) -- Unmanned aircraft; for other than remote-controlled flight and other than for carriage of passengers with a maximum take-off weight more than 7kg but not more than 25kg","852110","Video recording or reproducing apparatus magnet"
"880694","880694 -- (2022) -- Unmanned aircraft; for other than remote-controlled flight and other than for carriage of passengers with a maximum take-off weight more than 25kg but not more than 150kg","852110","Video recording or reproducing apparatus magnet"
"880699","880699 -- (2022) -- Unmanned aircraft; for other than remote-controlled flight and other than for carriage of passengers with a maximum take-off weight more than 150kg","880240","Aircraft nes of an unladen weight exceeding 15,"
"880710","880710 -- (2022) -- Aircraft and spacecraft; propellers and rotors and parts thereof","880310","Aircraft propellers and rotors and parts thereo"
"880720","880720 -- (2022) -- Aircraft and spacecraft; under-carriages and parts thereof","880320","Aircraft under-carriages and parts thereof"
